Index,Tipo,Quantita,Rumore,Neuroni,Matrice,Epoche,Output,FID_Totale,FID_Relativo,Precisione,Richiamo,Densita,Copertura,Batch
79,10persone,20.0,False,50,greg,3000,64,3.76121162845098,-100.0,0.0625,0.0075,0.0125,0.0025,
80,10persone,20.0,False,10,greg,3000,64,3.62710561228149,-100.0,0.125,0.1275,0.025,0.005,
81,10persone,20.0,False,20,greg,3000,64,3.404165599338754,-100.0,0.0,0.1175,0.0,0.0,
82,10persone,20.0,False,30,greg,3000,64,3.628199445912226,-100.0,0.0,0.1525,0.0,0.0,
83,10persone,20.0,False,40,greg,3000,64,3.373599275069372,-100.0,0.0,0.015,0.0,0.0,
84,10persone,20.0,False,50,greg,3000,64,3.2133597437428354,-100.0,0.0,0.0375,0.0,0.0,
85,10persone,20.0,False,10,greg,3000,64,3.9789009017879096,-100.0,0.078125,0.3225,0.015625,0.005,
86,10persone,20.0,False,20,greg,3000,64,3.607575624036396,-100.0,0.0,0.2125,0.0,0.0,
87,10persone,20.0,False,30,greg,3000,64,3.263357951949401,-100.0,0.0,0.0,0.0,0.0,
88,10persone,20.0,False,40,greg,3000,64,3.474466544806004,-100.0,0.0,0.0,0.0,0.0,
89,10persone,20.0,False,50,greg,3000,64,3.344287099349428,-100.0,0.0,0.01,0.0,0.0,
90,10persone,20.0,False,10,greg,3000,64,3.907982649147328,-100.0,0.078125,0.385,0.015625,0.005,
91,10persone,20.0,False,20,greg,3000,64,3.4010401171692086,-100.0,0.0,0.21,0.0,0.0,
92,10persone,20.0,False,30,greg,3000,64,3.119949378274561,-100.0,0.0,0.0,0.0,0.0,
93,10persone,20.0,False,40,greg,3000,64,3.0711990337756334,-100.0,0.0,0.09,0.0,0.0,
94,10persone,20.0,False,50,greg,3000,64,3.023109891108648,-100.0,0.0,0.0725,0.0,0.0,
95,10persone,20.0,False,10,greg,3000,64,3.337958884293664,-100.0,0.03125,0.4775,0.00625,0.005,
96,10persone,20.0,False,20,greg,3000,64,3.35947639108512,-100.0,0.015625,0.235,0.003125,0.0025,
97,10persone,20.0,False,30,greg,3000,64,3.385252092100284,-100.0,0.0,0.0,0.0,0.0,
98,10persone,20.0,False,40,greg,3000,64,2.9969789800276905,-100.0,0.0,0.1,0.0,0.0,
99,10persone,20.0,False,50,greg,3000,64,2.8195027219015163,-100.0,0.0,0.045,0.0,0.0,
100,uguali,10.0,False,5,curti,3000,64,8.387652895353007,13.065878031034597,0.46875,0.0,0.209375,0.0125,
101,uguali,10.0,False,9,curti,3000,64,5.490275164394748,9.343510931006188,0.859375,0.0,0.775,0.02,
102,uguali,10.0,False,13,curti,3000,64,4.646848170840478,8.250356887720864,0.6875,0.0,0.478125,0.02,
103,uguali,10.0,False,17,curti,3000,64,4.265177002906656,7.76812961800783,0.3125,0.0,0.15625,0.015,
104,uguali,10.0,False,21,curti,3000,64,3.5904750506813468,6.7887449088747385,0.875,0.0,0.625,0.0175,
105,uguali,10.0,False,5,curti,3000,64,5.285216641206982,4.213483546899687,0.6875,0.0,0.378125,0.0175,
106,uguali,10.0,False,9,curti,3000,64,4.3005416196782855,3.262227424326204,0.921875,0.0,0.796875,0.0175,
107,uguali,10.0,False,13,curti,3000,64,3.748405076221722,2.776424403381748,0.5625,0.0,0.396875,0.02,
108,uguali,10.0,False,17,curti,3000,64,3.189235430260852,2.201331449481504,0.671875,0.0,0.39375,0.015,
109,uguali,10.0,False,21,curti,3000,64,2.4856595437124067,1.4851925640716024,0.84375,0.0,0.571875,0.015,
110,uguali,10.0,False,5,curti,3000,64,4.8683981327114765,6.169192941260438,0.578125,0.0,0.346875,0.015,
111,uguali,10.0,False,9,curti,3000,64,4.793346893279216,6.04006866737494,0.921875,0.0,0.775,0.02,
112,uguali,10.0,False,13,curti,3000,64,4.960299599368317,6.276923131332892,0.59375,0.0,0.38125,0.02,
113,uguali,10.0,False,17,curti,3000,64,4.05114625740857,5.142817725979357,0.734375,0.0,0.490625,0.015,
114,uguali,10.0,False,21,curti,3000,64,4.24748744055509,5.410054440402983,0.6875,0.0,0.46875,0.0175,
115,uguali,10.0,False,5,curti,3000,64,7.649027882058334,7.674656350334523,0.671875,0.0,0.371875,0.015,
116,uguali,10.0,False,9,curti,3000,64,4.427185281857822,4.578074862163787,0.96875,0.0,0.765625,0.0175,
117,uguali,10.0,False,13,curti,3000,64,3.15032771658017,3.363302878785676,0.6875,0.0,0.44375,0.02,
118,uguali,10.0,False,17,curti,3000,64,2.4183697329787743,2.677909192050832,0.828125,0.0,0.6156250000000001,0.0175,
119,uguali,10.0,False,21,curti,3000,64,2.3074667586300923,2.5702420010283062,0.65625,0.0,0.409375,0.0175,
120,uguali,10.0,False,5,curti,3000,64,4.170783957332128,6.543800259685759,0.609375,0.0,0.31875,0.0175,
121,uguali,10.0,False,9,curti,3000,64,3.4815288205506465,5.580180444060037,0.96875,0.0,0.8562500000000001,0.02,
122,uguali,10.0,False,13,curti,3000,64,3.060904906154821,5.008201962206877,0.625,0.0,0.378125,0.02,
123,uguali,10.0,False,17,curti,3000,64,2.77317290448766,4.534422756612819,0.828125,0.0,0.571875,0.015,
124,uguali,10.0,False,21,curti,3000,64,2.542104547354844,4.205559114845446,0.578125,0.0,0.39375,0.0175,
125,uguali,5.0,False,5,greg,3000,64,21.241316104419035,28.19011628384212,0.375,0.0,0.20625,0.01,
126,uguali,5.0,False,9,greg,3000,64,12.33491319344291,17.9354591411067,0.265625,0.0,0.125,0.0125,
127,uguali,5.0,False,13,greg,3000,64,8.04313594800286,12.682257850802795,0.734375,0.0,0.434375,0.0175,
128,uguali,5.0,False,17,greg,3000,64,6.527667795760099,10.805168497509678,0.328125,0.0,0.15,0.01,
129,uguali,5.0,False,21,greg,3000,64,4.297119847612784,7.835168712432273,0.3125,0.0,0.2875,0.0175,
